"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"860Z200US98814","ZCTA5 98814","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98815","ZCTA5 98815","681","173","17","24","72","51","92","66","66","73","72","66","54","53","42","57","40","47","131","61","95","94",
"860Z200US98816","ZCTA5 98816","1128","246","254","148","102","106","40","47","197","169","143","74","22","36","0","19","151","65","77","65","142","122",
"860Z200US98817","ZCTA5 98817","15","27","0","13","0","13","0","13","15","27","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98819","ZCTA5 98819","24","21","0","13","0","13","0","13","0","13","4","6","0","13","0","13","14","17","0","13","6","10",
"860Z200US98821","ZCTA5 98821","182","205","182","205","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98822","ZCTA5 98822","151","60","26","28","26","28","23","22","15","17","13","16","0","13","6","7","21","26","12","17","9","13",
"860Z200US98823","ZCTA5 98823","1475","282","146","131","171","148","207","153","146","124","201","132","124","114","99","75","84","61","121","82","176","144",
"860Z200US98824","ZCTA5 98824","27","33","0","13","0","13","0","13","0","13","9","17","7","11","0","13","0","13","0","13","11","23",
"860Z200US98826","ZCTA5 98826","941","225","67","88","109","102","48","32","139","70","123","103","39","31","68","71","53","47","135","72","160","79",
"860Z200US98827","ZCTA5 98827","104","91","0","13","0","13","0","13","0","13","0","13","51","77","0","13","0","13","53","55","0","13",
"860Z200US98828","ZCTA5 98828","116","73","0","13","0","13","0","13","0","13","25","41","0","13","25","28","13","20","29","37","24","41",
"860Z200US98829","ZCTA5 98829","41","35","11","17","0","13","12","19","0","13","0","13","0","13","0","13","0","13","18","23","0","13",
"860Z200US98830","ZCTA5 98830","56","27","6","7","4","7","3","5","4","6","8","13","2","3","0","13","4","8","10","11","15","13",
"860Z200US98831","ZCTA5 98831","451","173","0","13","69","62","67","79","0","13","20","38","39","46","0","13","61","64","85","70","110","98",
"860Z200US98832","ZCTA5 98832","12","17","0","13","0","13","0","13","3","6","0","13","0","13","0","13","0","13","0","13","9","16",
"860Z200US98833","ZCTA5 98833","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98834","ZCTA5 98834","3","5","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","3","5",
"860Z200US98836","ZCTA5 98836","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98837","ZCTA5 98837","5907","566","483","268","597","228","703","212","650","255","400","172","617","317","384","201","329","154","1289","325","455","208",
"860Z200US98840","ZCTA5 98840","772","205","43","48","157","94","74","69","147","103","50","45","58","36","0","19","129","113","36","40","78","51",
"860Z200US98841","ZCTA5 98841","890","221","99","86","345","180","59","41","89","77","97","73","4","8","0","19","44","36","55","34","98","79",
"860Z200US98843","ZCTA5 98843","348","118","31","32","41","31","15","25","9","16","14","20","24","41","12","18","32","38","9","13","161","76",
"860Z200US98844","ZCTA5 98844","531","190","3","4","111","119","48","47","76","53","94","60","31","32","17","18","14","13","112","61","25","26",
"860Z200US98845","ZCTA5 98845","29","21","0","13","0","13","8","13","7","11","0","13","2","3","0","13","0","13","2","4","10","14",
"860Z200US98846","ZCTA5 98846","51","35","4","6","0","13","7","14","0","13","5","10","11","17","0","13","13","16","3","5","8","10",
"860Z200US98847","ZCTA5 98847","230","140","0","13","33","50","0","13","67","98","51","70","67","76","0","13","0","13","12","18","0","13",
"860Z200US98848","ZCTA5 98848","1525","327","263","165","130","90","237","187","202","143","53","67","64","65","54","63","44","36","226","189","252","137",
"860Z200US98849","ZCTA5 98849","157","85","31","36","7","11","44","44","0","13","4","7","1","3","0","13","30","52","30","21","10","15",
"860Z200US98850","ZCTA5 98850","127","62","15","15","11","15","21","23","0","13","31","38","10","16","5","11","0","13","8","13","26","25",
"860Z200US98851","ZCTA5 98851","584","147","38","58","103","89","95","68","42","65","26","25","35","32","0","13","24","36","161","90","60","46",
"860Z200US98852","ZCTA5 98852","2","3","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","2","3",
"860Z200US98853","ZCTA5 98853","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98855","ZCTA5 98855","686","182","93","78","59","59","85","74","86","75","32","23","7","13","43","51","10","12","71","48","200","107",
"860Z200US98856","ZCTA5 98856","310","114","72","73","22","23","0","13","35","33","18","22","29","34","35","31","0","13","89","64","10","16",
"860Z200US98857","ZCTA5 98857","386","121","25","26","44","39","40","47","77","42","13","16","32","25","0","13","49","61","31","27","75","70",
"860Z200US98858","ZCTA5 98858","209","105","43","36","0","13","26","24","0","13","10","17","11","18","27","35","9","12","9","14","74","72",
"860Z200US98859","ZCTA5 98859","32","45","0","13","32","45","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
