ZIP,date,forecast_rent
98402,2027-08-01,1755.9275129760078
98402,2027-09-01,1759.9538355623167
98402,2027-10-01,1763.9801581486254
98402,2027-11-01,1768.0064807349343
98402,2027-12-01,1772.0328033212431
98402,2028-01-01,1776.0591259075518
98402,2028-02-01,1780.0854484938607
98402,2028-03-01,1784.1117710801695
98402,2028-04-01,1788.1380936664782
98402,2028-05-01,1792.164416252787
98402,2028-06-01,1796.190738839096
98402,2028-07-01,1800.2170614254046
98402,2028-08-01,1804.2433840117135
98402,2028-09-01,1808.2697065980224
98402,2028-10-01,1812.296029184331
98402,2028-11-01,1816.32235177064
98402,2028-12-01,1820.3486743569488
98402,2029-01-01,1824.3749969432574
98402,2029-02-01,1828.4013195295663
98402,2029-03-01,1832.4276421158752
98402,2029-04-01,1836.4539647021838
98402,2029-05-01,1840.4802872884927
98402,2029-06-01,1844.5066098748016
98402,2029-07-01,1848.5329324611102
98402,2029-08-01,1852.5592550474194
98402,2029-09-01,1856.585577633728
98402,2029-10-01,1860.6119002200367
98402,2029-11-01,1864.6382228063458
98402,2029-12-01,1868.6645453926544
98402,2030-01-01,1872.6908679789633
98402,2030-02-01,1876.7171905652722
98402,2030-03-01,1880.7435131515808
98402,2030-04-01,1884.7698357378897
98402,2030-05-01,1888.7961583241986
98402,2030-06-01,1892.8224809105072
98402,2030-07-01,1896.8488034968161
98403,2025-08-01,1699.4422480368105
98403,2025-09-01,1705.4104015056146
98403,2025-10-01,1711.3785549744189
98403,2025-11-01,1717.3467084432232
98403,2025-12-01,1723.3148619120273
98403,2026-01-01,1729.2830153808313
98403,2026-02-01,1735.2511688496356
98403,2026-03-01,1741.21932231844
98403,2026-04-01,1747.1874757872442
98403,2026-05-01,1753.1556292560483
98403,2026-06-01,1759.1237827248524
98403,2026-07-01,1765.0919361936567
98403,2026-08-01,1771.060089662461
98403,2026-09-01,1777.028243131265
98403,2026-10-01,1782.9963966000691
98403,2026-11-01,1788.9645500688735
98403,2026-12-01,1794.9327035376778
98403,2027-01-01,1800.900857006482
98403,2027-02-01,1806.8690104752861
98403,2027-03-01,1812.8371639440902
98403,2027-04-01,1818.8053174128945
98403,2027-05-01,1824.7734708816988
98403,2027-06-01,1830.741624350503
98403,2027-07-01,1836.709777819307
98403,2027-08-01,1842.6779312881113
98403,2027-09-01,1848.6460847569156
98403,2027-10-01,1854.6142382257199
98403,2027-11-01,1860.582391694524
98403,2027-12-01,1866.550545163328
98403,2028-01-01,1872.5186986321323
98403,2028-02-01,1878.4868521009366
98403,2028-03-01,1884.4550055697407
98403,2028-04-01,1890.4231590385448
98403,2028-05-01,1896.391312507349
98403,2028-06-01,1902.3594659761534
98403,2028-07-01,1908.3276194449575
98403,2028-08-01,1914.2957729137618
98403,2028-09-01,1920.2639263825658
98403,2028-10-01,1926.2320798513701
98403,2028-11-01,1932.2002333201744
98403,2028-12-01,1938.1683867889785
98403,2029-01-01,1944.1365402577826
98403,2029-02-01,1950.104693726587
98403,2029-03-01,1956.0728471953912
98403,2029-04-01,1962.0410006641953
98403,2029-05-01,1968.0091541329996
98403,2029-06-01,1973.9773076018037
98403,2029-07-01,1979.945461070608
98403,2029-08-01,1985.913614539412
98403,2029-09-01,1991.8817680082163
98403,2029-10-01,1997.8499214770204
98403,2029-11-01,2003.8180749458247
98403,2029-12-01,2009.786228414629
98403,2030-01-01,2015.754381883433
98403,2030-02-01,2021.7225353522374
98403,2030-03-01,2027.6906888210415
98403,2030-04-01,2033.6588422898458
98403,2030-05-01,2039.6269957586499
98403,2030-06-01,2045.5951492274542
98403,2030-07-01,2051.5633026962582
98404,2025-08-01,2101.3562321837308
98404,2025-09-01,2102.4980928787545
98404,2025-10-01,2103.6399535737783
98404,2025-11-01,2104.7818142688016
98404,2025-12-01,2105.9236749638253
98404,2026-01-01,2107.065535658849
98404,2026-02-01,2108.2073963538724
98404,2026-03-01,2109.349257048896
98404,2026-04-01,2110.49111774392
98404,2026-05-01,2111.632978438943
98404,2026-06-01,2112.774839133967
98404,2026-07-01,2113.9166998289907
98404,2026-08-01,2115.058560524014
98404,2026-09-01,2116.2004212190377
98404,2026-10-01,2117.3422819140615
98404,2026-11-01,2118.4841426090848
98404,2026-12-01,2119.6260033041085
98404,2027-01-01,2120.767863999132
98404,2027-02-01,2121.9097246941556
98404,2027-03-01,2123.0515853891793
98404,2027-04-01,2124.193446084203
98404,2027-05-01,2125.3353067792264
98404,2027-06-01,2126.47716747425
98404,2027-07-01,2127.6190281692734
98404,2027-08-01,2128.760888864297
98404,2027-09-01,2129.902749559321
98404,2027-10-01,2131.044610254344
